lme_id,lme_name,specieskey,species_name,weighted_em_status,model,growth
1,Baltic Sea,TPF2X,Vertebrata fucoides,0,GAM,0.78585696899059
1,Baltic Sea,MM697,Chorda filum,0,GAM,0.7432592205352047
1,Baltic Sea,MPMVS,Ceramium tenuicorne,0,GAM,0.7094868287665931
1,Baltic Sea,TB5V,Chaetoceros lorenzianus,0,GAM,0.6942041032784584
1,Baltic Sea,NFCHP,Ectocarpus siliculosus,0,GAM,0.6800938392558383
1,Baltic Sea,6R5XM,Marenzelleria neglecta,0,GAM,0.6469552552002149
1,Baltic Sea,SSYB,Cercopagis pengoi,0,GAM,0.6278529921447908
1,Baltic Sea,3DGBC,Evadne anonyx,0,GAM,0.5798378805961976
1,Baltic Sea,T8WJW,Thalassiosira nordenskioeldii,0,GAM,0.5507598570874928
1,Baltic Sea,4NQJ3,Pseudocalanus elongatus,0,GAM,0.4943019034026733
3,North Sea,4RF6D,Rangia cuneata,31.5,GAM,1.3654528309241785
3,North Sea,7WLRT,Procambarus clarkii,31.5,GAM,1.3582109887967784
3,North Sea,4L669,Polydora websteri,31.5,GAM,1.2917846274125673
3,North Sea,L26KD,Hemigrapsus sanguineus,31.5,GAM,1.266762783354821
3,North Sea,L97ZS,Agardhiella subulata,31.5,GAM,1.1579177806056646
3,North Sea,358C6,Diadumene lineata,31.5,GAM,1.1561017929894737
3,North Sea,N4VRP,Codium fragile,31.5,GAM,1.1531999693944197
3,North Sea,4FDSH,Petricolaria pholadiformis,31.5,GAM,1.133261364567797
3,North Sea,M9Y66,Caulacanthus okamurae,31.5,GAM,1.093565951814549
3,North Sea,PGHVY,Fucus distichus,31.5,GAM,1.0901774372257544
3,North Sea,VL8MP,Melanothamnus harveyi,31.5,GAM,1.0851988859493351
3,North Sea,9GQWD,Palaemon elegans,31.5,GAM,1.080165793771389
3,North Sea,6RVDM,Necora puber,31.5,GAM,1.077532733102069
3,North Sea,3ZTFD,Mercenaria mercenaria,31.5,GAM,1.063574251941335
3,North Sea,MPMVS,Ceramium tenuicorne,31.5,GAM,1.0624044604592413
3,North Sea,QJMH2,Megabalanus tintinnabulum,31.5,GAM,1.056829158230295
3,North Sea,PGJ56,Fucus evanescens,31.5,GAM,1.035351158798759
3,North Sea,3VNQM,Littorina obtusata,31.5,GAM,1.0313500676863596
3,North Sea,44RHY,Mya arenaria,31.5,GAM,1.0296080831608139
3,North Sea,7DYQT,Urosalpinx cinerea,31.5,GAM,1.0127684853208923
3,North Sea,ML9NC,Chondria coerulescens,29,GAM,
3,North Sea,4YF8Y,Sparus aurata,27,GAM,
3,North Sea,L9NW8,Alexandrium tamarense,27,GAM,
3,North Sea,R48N,Carcinus maenas,26.5,GAM,1.005941520142678
3,North Sea,7C6PW,Thecacera pennigera,25.5,GAM,1.1609306881408659
3,North Sea,3KP8C,Hemigrapsus takanoi,25.5,GAM,1.142040370522129
3,North Sea,3HRQS,Gymnodinium catenatum,25.5,GAM,
3,North Sea,RRT64,Polysiphonia senticulosa,22.5,GAM,1.0228266685992875
3,North Sea,42Z4T,Micromesistius poutassou,22.5,GAM,0.9699593787790779
3,North Sea,RZPNM,Porphyra umbilicalis,22.5,GAM,0.9642273004695804
3,North Sea,6HVS2,Ficopomatus enigmaticus,22.5,GAM,0.9043046322562416
3,North Sea,PGMCT,Fucus serratus,22.5,GAM,0.8876645593085718
3,North Sea,MM697,Chorda filum,22.5,GAM,0.8828310535615796
3,North Sea,TVBX,Chelon labrosus,22.5,GAM,0.8550107826407981
3,North Sea,3BT78,Euchone incolor,22.5,decision rules,
3,North Sea,6GNYR,Ericthonius didymus,22.5,decision rules,
3,North Sea,B3YKX,Pagurus longicarpus,22.5,decision rules,
3,North Sea,MPNZ,Botrylloides violaceus,22,decision rules,
3,North Sea,NFCHP,Ectocarpus siliculosus,19.5,GAM,1.2137966269026652
3,North Sea,Q76B,Calyptraea chinensis,19.5,GAM,1.0848032949356765
3,North Sea,MPMSH,Ceramium sungminbooi,19.5,decision rules,
3,North Sea,BSQH5,Watersipora subatra,18.5,decision rules,
3,North Sea,446DR,Monocorophium insidiosum,18,GAM,0.9308837898099298
3,North Sea,564M4,Tharyx killariensis,18,GAM,0.788646229874997
3,North Sea,P6PPT,Gelidium vagum,15.5,GAM,1.5651224835030206
3,North Sea,46FZP,Neodexiospira brasiliensis,15.5,decision rules,
3,North Sea,TC9N,Chaetogammarus ischnus,15.5,decision rules,
3,North Sea,7RH6D,Haminella solitaria,15,GAM,3.9861553810131145
3,North Sea,3KQ9P,Hemimysis anomala,15,decision rules,
3,North Sea,9C4T,Acipenser baerii,15,decision rules,
3,North Sea,66DTZ,Ammothea hilgendorfi,13.5,GAM,1.1891864104900782
3,North Sea,L9NRY,Alexandrium minutum,13.5,GAM,
3,North Sea,6MSH5,Ianiropsis serricaudis,13.5,decision rules,
3,North Sea,79WZK,Schizoporella japonica,13,decision rules,
3,North Sea,6YRDJ,Sinelobus vanhaareni,12.5,decision rules,
3,North Sea,MPMK,Botrylloides diegensis,12,GAM,0.7327663685179475
3,North Sea,TB3ZV,Stephanopyxis turris,10.5,GAM,1.0054388348839127
3,North Sea,MR4G,Bougainvillia muscus,10.5,GAM,1.0003213439560328
3,North Sea,3NHYZ,Hymeniacidon perlevis,10.5,GAM,0.9906419367306822
3,North Sea,5387D,Styela clava,10.5,GAM,0.9848344310599323
3,North Sea,3JBV8,Halichoerus grypus,10.5,GAM,0.9657840466066874
3,North Sea,B29V,Agonus cataphractus,10.5,GAM,0.9474503848720355
3,North Sea,LSKVH,Austrominius modestus,10.5,GAM,0.9440119278764487
3,North Sea,PHYYY,Halosiphon tomentosus,10.5,GAM,0.9383782515844769
3,North Sea,4L63D,Polydora cornuta,10.5,GAM,0.9311709582482124
3,North Sea,T8WJW,Thalassiosira nordenskioeldii,10.5,GAM,0.9305733759890635
3,North Sea,PS2Z,Calliostoma zizyphinum,10.5,GAM,0.9292971638135934
3,North Sea,688WN,Atherina boyeri,10.5,GAM,0.9252180635112998
3,North Sea,BSN6,Alitta succinea,10.5,GAM,0.9140775120221626
3,North Sea,5ZYZX,Corbicula fluminalis,10.5,GAM,0.9090669940179066
3,North Sea,RVKDP,Pronoctiluca pelagica,10.5,GAM,0.9047285184641917
3,North Sea,TRJJ4,Undaria pinnatifida,10.5,GAM,0.8979760859158891
3,North Sea,65BGC,Aetea truncata,10.5,GAM,0.8942563009779783
3,North Sea,VJY5B,Lessardia elongata,10.5,GAM,0.878440534547316
3,North Sea,4HVTW,Pilumnus hirtellus,10.5,GAM,0.8681612043274887
3,North Sea,364SQ,Dikerogammarus villosus,10.5,GAM,0.8535467693641384
3,North Sea,472YS,Nephtys ciliata,10.5,GAM,0.8438422500149462
3,North Sea,M8HY,Boccardiella ligerica,10.5,GAM,0.8087143654226802
3,North Sea,6R5XM,Marenzelleria neglecta,10.5,GAM,0.7769188998344914
3,North Sea,NPRJ,Bugula neritina,10.5,GAM,0.7441411151936718
3,North Sea,4NQJ3,Pseudocalanus elongatus,10.5,GAM,0.725559394362782
3,North Sea,GWSX,Artemisia princeps,10.5,GAM,0.7204837108604923
3,North Sea,6WGQH,Pseudopotamilla reniformis,10.5,GAM,0.6846548535757921
3,North Sea,5XNK6,Chaetoceros concavicornis,10.5,GAM,0.6769386424200227
3,North Sea,7B8KV,Synidotea laticauda,10.5,GAM,0.5869153309283809
3,North Sea,M8HX,Boccardiella hamata,10.5,decision rules,
3,North Sea,7935Q,Rana dalmatina,9.5,GAM,0.613226639401009
3,North Sea,3K4QF,Heleobia charruana,8,GAM,1.0376809482213065
3,North Sea,53D7D,Suberites massa,7,GAM,0.6601606262829409
3,North Sea,7CXK2,Tubificoides benedii,6,GAM,0.8885527905020966
3,North Sea,TPF2X,Vertebrata fucoides,6,GAM,0.8390122159428339
3,North Sea,QSCF,Caprella mutica,6,GAM,0.8343031090861824
3,North Sea,4VRP9,Scolelepis korsuni,6,GAM,0.8142718081049645
3,North Sea,53ML9,Syllidia armata,6,GAM,0.8122989411145031
3,North Sea,43VGP,Molgula manhattensis,6,GAM,0.8076853903976317
3,North Sea,TB5V,Chaetoceros lorenzianus,6,GAM,0.7779685894270887
3,North Sea,5XQWG,Chelicorophium curvispinum,6,GAM,0.7127066250433826
3,North Sea,NNFVY,Dasya baillouviana,6,GAM,0.6829470534200264
3,North Sea,Q9BCD,Karenia mikimotoi,6,GAM,0.5247293822409799
3,North Sea,5CS3F,Yoldia limatula,5,GAM,1.3712861763394149
3,North Sea,RWNKZ,Prorocentrum cordatum,4.5,GAM,0.9393837494671261
3,North Sea,SHPCB,Rhizosolenia setigera,4.5,GAM,0.928350087476478
3,North Sea,32WFN,Cyclopterus lumpus,4.5,GAM,0.9026829339655835
3,North Sea,LBG2M,Apedinella radians,4.5,GAM,0.8869800862594667
3,North Sea,MPMV,Botrylloides leachii,4.5,GAM,0.873788460903537
3,North Sea,Q2LNR,Lennoxia faveolata,4.5,GAM,0.7698013051223697
3,North Sea,Q9CYR,Karlodinium veneficum,4.5,GAM,0.7629341562864247
3,North Sea,NFDLC,Dinobryon faculiferum,1,GAM,0.8966152879334295
3,North Sea,NW7G2,Ethmodiscus punctiger,0,GAM,0.8747325380699038
3,North Sea,36PZC,Dipolydora quadrilobata,0,GAM,0.8665041684039113
3,North Sea,52X2B,Streblospio benedicti,0,GAM,0.829708864486844
3,North Sea,59K2N,Tubularia indivisa,0,GAM,0.8188964680127617
3,North Sea,4VRNP,Scolelepis bonnieri,0,GAM,0.8169158832410217
3,North Sea,RDJPC,Peridiniella danica,0,GAM,0.731820534860098
3,North Sea,SHPG2,Rhizosolenia styliformis,0,GAM,0.6849813672388261
3,North Sea,FNWY,Aplidium glabrum,0,GAM,0.6640557377274142
3,North Sea,3H7P6,Grandidierella japonica,0,GAM,0.6577521712520772
3,North Sea,73P2T,Monocorophium sextonae,0,GAM,0.6400860362579618
3,North Sea,7Q5KP,Antiopella cristata,0,GAM,0.6366083605098857
3,North Sea,4347F,Microporella ciliata,0,GAM,0.6353594753292507
3,North Sea,4VZML,Scruparia ambigua,0,GAM,0.6328041357995555
3,North Sea,PTTWN,Hobaniella longicruris,0,GAM,0.5887584976324141
3,North Sea,3Y8B5,Marphysa sanguinea,0,GAM,0.5856505121063655
3,North Sea,LWMWN,Asterionellopsis glacialis,0,GAM,0.5285145477606981
3,North Sea,36PZF,Dipolydora socialis,0,GAM,0.5079586702506818
3,North Sea,4TV6Q,Sabellaria spinulosa,0,GAM,0.4360358893036055
3,North Sea,SKMYS,Pterosperma cristatum,0,GAM,0.4130602737775959
3,North Sea,SFKBR,Pseudochattonella verruculosa,0,GAM,0.2932147475615919
3,North Sea,4NVZL,Pseudodiaptomus marinus,0,GAM,0.2643193284113695
6,Celtic-Biscay Shelf,TB5V,Chaetoceros lorenzianus,31.5,GAM,1.2899520236187434
6,Celtic-Biscay Shelf,L26KD,Hemigrapsus sanguineus,31.5,GAM,1.2314038639891087
6,Celtic-Biscay Shelf,6KZCH,Haliotis tuberculata,31.5,GAM,1.1692210940895482
6,Celtic-Biscay Shelf,YSGX,Coryphoblennius galerita,31.5,GAM,1.153019677719092
6,Celtic-Biscay Shelf,3HRQS,Gymnodinium catenatum,31.5,GAM,1.1279102777246046
6,Celtic-Biscay Shelf,LQ348,Asparagopsis armata,31.5,GAM,1.1176220360141909
6,Celtic-Biscay Shelf,Z8ZR,Craterolophus convolvulus,31.5,GAM,1.1020438313310006
6,Celtic-Biscay Shelf,9GQWD,Palaemon elegans,31.5,GAM,1.0824530108210324
6,Celtic-Biscay Shelf,7935Q,Rana dalmatina,31.5,GAM,1.0651031097059958
6,Celtic-Biscay Shelf,MPMK,Botrylloides diegensis,31.5,GAM,1.0612592273982793
6,Celtic-Biscay Shelf,4FDSH,Petricolaria pholadiformis,31.5,GAM,1.0575082147467199
6,Celtic-Biscay Shelf,PGHVY,Fucus distichus,31.5,GAM,1.0544439052720636
6,Celtic-Biscay Shelf,MPNZ,Botrylloides violaceus,31.5,GAM,1.035548201790591
6,Celtic-Biscay Shelf,FNWY,Aplidium glabrum,31.5,GAM,1.0336813825234956
6,Celtic-Biscay Shelf,PGMCT,Fucus serratus,31.5,GAM,1.0219714062345702
6,Celtic-Biscay Shelf,3ZTFD,Mercenaria mercenaria,28,GAM,
6,Celtic-Biscay Shelf,R48N,Carcinus maenas,27.5,GAM,1.0246072580589638
6,Celtic-Biscay Shelf,358C6,Diadumene lineata,27,GAM,
6,Celtic-Biscay Shelf,6CY2M,Diplodus vulgaris,26.5,GAM,1.1377048828117082
6,Celtic-Biscay Shelf,3T7JW,Lepadogaster candolii,22.5,GAM,1.0821246819086763
6,Celtic-Biscay Shelf,RCDCN,Perforatus perforatus,22.5,GAM,1.0008839055638203
6,Celtic-Biscay Shelf,SXTX7,Sphaerococcus coronopifolius,22.5,GAM,0.9845575435222398
6,Celtic-Biscay Shelf,44RHY,Mya arenaria,22.5,GAM,0.9479094540672269
6,Celtic-Biscay Shelf,LCHL9,Amphibalanus eburneus,21.5,decision rules,
6,Celtic-Biscay Shelf,4VRP9,Scolelepis korsuni,21,GAM,0.8067916823142536
6,Celtic-Biscay Shelf,686FK,Asterocarpa humilis,20.5,decision rules,
6,Celtic-Biscay Shelf,4RF6D,Rangia cuneata,19.5,GAM,1.3689919910339277
6,Celtic-Biscay Shelf,7C6PW,Thecacera pennigera,19.5,GAM,1.0830052536242067
6,Celtic-Biscay Shelf,79WZK,Schizoporella japonica,17.5,decision rules,
6,Celtic-Biscay Shelf,NPRJ,Bugula neritina,15,GAM,0.9366668545449082
6,Celtic-Biscay Shelf,QSCF,Caprella mutica,13.5,GAM,0.9618790924957766
6,Celtic-Biscay Shelf,BSQH5,Watersipora subatra,12.5,GAM,1.0754155314725047
6,Celtic-Biscay Shelf,5D4CT,Zeuxo holdichi,12.5,decision rules,
6,Celtic-Biscay Shelf,5BV6H,Watersipora subtorquata,11.5,GAM,0.48717625209961524
6,Celtic-Biscay Shelf,7CWT9,Truncatella subcylindrica,10.5,GAM,0.9695939280649926
6,Celtic-Biscay Shelf,59435,Tritia neritea,10.5,GAM,0.9541770564494946
6,Celtic-Biscay Shelf,MVLMW,Chthamalus stellatus,10.5,GAM,0.9517230723259775
6,Celtic-Biscay Shelf,PS2Z,Calliostoma zizyphinum,10.5,GAM,0.924339515283356
6,Celtic-Biscay Shelf,3VNQM,Littorina obtusata,10.5,GAM,0.9097210583801584
6,Celtic-Biscay Shelf,6HVS2,Ficopomatus enigmaticus,10.5,GAM,0.9068393174488398
6,Celtic-Biscay Shelf,42Z4T,Micromesistius poutassou,10.5,GAM,0.9058394584600595
6,Celtic-Biscay Shelf,LSKVH,Austrominius modestus,10.5,GAM,0.879315093385297
6,Celtic-Biscay Shelf,7WLRT,Procambarus clarkii,10.5,GAM,0.8559057147012525
6,Celtic-Biscay Shelf,SXGX,Cereus pedunculatus,10.5,GAM,0.8501259257038032
6,Celtic-Biscay Shelf,3NHYZ,Hymeniacidon perlevis,10.5,GAM,0.8318811711095627
6,Celtic-Biscay Shelf,ML9NC,Chondria coerulescens,10.5,GAM,0.8092063454787041
6,Celtic-Biscay Shelf,4YF8Y,Sparus aurata,10.5,GAM,0.7963613094796279
6,Celtic-Biscay Shelf,PKB9M,Grateloupia subpectinata,10.5,GAM,0.7477111998689757
6,Celtic-Biscay Shelf,VL8MP,Melanothamnus harveyi,10.5,GAM,0.7262762678873904
6,Celtic-Biscay Shelf,66DTZ,Ammothea hilgendorfi,10.5,GAM,0.7025086753545932
6,Celtic-Biscay Shelf,3D8MS,Eusarsiella zostericola,10.5,GAM,0.6494688391447639
6,Celtic-Biscay Shelf,5CS3F,Yoldia limatula,10.5,decision rules,
6,Celtic-Biscay Shelf,6Z55C,Solea senegalensis,8,GAM,0.8755520782054018
6,Celtic-Biscay Shelf,N4VRP,Codium fragile,6.5,GAM,1.0137401949913851
6,Celtic-Biscay Shelf,6RVDM,Necora puber,6,GAM,0.8247623672878055
6,Celtic-Biscay Shelf,7Q5KP,Antiopella cristata,6,GAM,0.7834361008675544
6,Celtic-Biscay Shelf,SHPCB,Rhizosolenia setigera,6,GAM,0.7424944179376625
6,Celtic-Biscay Shelf,MM697,Chorda filum,6,GAM,0.5847632385778797
6,Celtic-Biscay Shelf,4FS5C,Phallusia mammillata,4.5,GAM,0.9968746285238486
6,Celtic-Biscay Shelf,5387D,Styela clava,4.5,GAM,0.9174985365728153
6,Celtic-Biscay Shelf,4GRZN,Phoronis hippocrepia,4.5,GAM,0.8830092629230092
6,Celtic-Biscay Shelf,Q9BCD,Karenia mikimotoi,4.5,GAM,0.772132410799701
6,Celtic-Biscay Shelf,4HVTW,Pilumnus hirtellus,3.5,GAM,0.8762431400456002
6,Celtic-Biscay Shelf,6WYS2,Sabella spallanzanii,0,GAM,0.9718405494859399
6,Celtic-Biscay Shelf,ZJCF,Crisularia plumosa,0,GAM,0.8936769495926933
6,Celtic-Biscay Shelf,TVBX,Chelon labrosus,0,GAM,0.8696922935974998
6,Celtic-Biscay Shelf,32WFN,Cyclopterus lumpus,0,GAM,0.8657720406052148
6,Celtic-Biscay Shelf,43VGP,Molgula manhattensis,0,GAM,0.810982346010778
6,Celtic-Biscay Shelf,B29V,Agonus cataphractus,0,GAM,0.81035240172754
6,Celtic-Biscay Shelf,MPMV,Botrylloides leachii,0,GAM,0.7904555582118794
6,Celtic-Biscay Shelf,4VRNP,Scolelepis bonnieri,0,GAM,0.7671950504884972
6,Celtic-Biscay Shelf,SSBTH,Solieria chordalis,0,GAM,0.7522691008760706
6,Celtic-Biscay Shelf,73P2T,Monocorophium sextonae,0,GAM,0.7327288357390549
6,Celtic-Biscay Shelf,T8WJW,Thalassiosira nordenskioeldii,0,GAM,0.7299566807806489
6,Celtic-Biscay Shelf,M9Y66,Caulacanthus okamurae,0,GAM,0.7264580431799886
6,Celtic-Biscay Shelf,36PZC,Dipolydora quadrilobata,0,GAM,0.7134330315388829
6,Celtic-Biscay Shelf,Q76B,Calyptraea chinensis,0,GAM,0.6972660999161425
6,Celtic-Biscay Shelf,7CXK2,Tubificoides benedii,0,GAM,0.6893653784719519
6,Celtic-Biscay Shelf,RZPNM,Porphyra umbilicalis,0,GAM,0.6814342007950652
6,Celtic-Biscay Shelf,TRJJ4,Undaria pinnatifida,0,GAM,0.6656664946965444
6,Celtic-Biscay Shelf,7D9J2,Tubificoides pseudogaster,0,GAM,0.6385170099578067
6,Celtic-Biscay Shelf,4L63D,Polydora cornuta,0,GAM,0.6251287140773845
6,Celtic-Biscay Shelf,SHPG2,Rhizosolenia styliformis,0,GAM,0.5873882593626096
6,Celtic-Biscay Shelf,4TV6Q,Sabellaria spinulosa,0,GAM,0.5746742014344721
6,Celtic-Biscay Shelf,3JBV8,Halichoerus grypus,0,GAM,0.5636501100501358
6,Celtic-Biscay Shelf,59K2N,Tubularia indivisa,0,GAM,0.5480843689385595
6,Celtic-Biscay Shelf,7VBK3,Halisarca dujardinii,0,GAM,0.5299127094994507
6,Celtic-Biscay Shelf,52F56,Sternaspis scutata,0,GAM,0.5188167759428037
6,Celtic-Biscay Shelf,4RSPZ,Reptadeonella violacea,0,GAM,0.5174773742000562
6,Celtic-Biscay Shelf,RWNKZ,Prorocentrum cordatum,0,GAM,0.4864576370185637
6,Celtic-Biscay Shelf,BSN6,Alitta succinea,0,GAM,0.4713105223629562
11,Black Sea,7FFK2,Vanellus spinosus,31.5,GAM,1.1962680104452452
11,Black Sea,9GQWD,Palaemon elegans,31.5,GAM,1.0600042250550628
11,Black Sea,59435,Tritia neritea,25.5,GAM,1.1056256763262085
11,Black Sea,5WJTR,Beroe ovata,23,GAM,1.202680627344709
11,Black Sea,4JJZC,Planiliza haematocheilus,22.5,GAM,0.9084098643383681
11,Black Sea,7935Q,Rana dalmatina,19.5,GAM,1.0330545843778003
11,Black Sea,4TV6Q,Sabellaria spinulosa,19.5,decision rules,
11,Black Sea,4CMHV,Parablennius incognitus,18.5,decision rules,
11,Black Sea,44RHY,Mya arenaria,17.5,GAM,1.0093441141257122
11,Black Sea,4LQXH,Pomatoschistus marmoratus,15,GAM,0.9365330764781792
11,Black Sea,53WJY,Syngnathus abaster,10.5,GAM,0.94358791568501
11,Black Sea,Q76B,Calyptraea chinensis,10.5,GAM,0.7870931188370994
11,Black Sea,YSGX,Coryphoblennius galerita,9.5,GAM,1.1386552088796529
11,Black Sea,688WN,Atherina boyeri,4.5,GAM,0.813468120973302
13,Mediterranean Sea,7RTD2,Lamprohaminoea ovalis,31.5,GAM,2.1355112109641397
13,Mediterranean Sea,TPTB,Charybdis hellerii,31.5,GAM,1.6193882681358238
13,Mediterranean Sea,6GHWY,Ergalatax junionae,31.5,GAM,1.524013170012155
13,Mediterranean Sea,6Z55C,Solea senegalensis,31.5,GAM,1.495423482342514
13,Mediterranean Sea,35864,Diadema setosum,31.5,GAM,1.4920507954046618
13,Mediterranean Sea,DCJ6,Anadara transversa,31.5,GAM,1.4699700909647726
13,Mediterranean Sea,6JWF2,Gafrarium savignyi,31.5,GAM,1.4531431705681945
13,Mediterranean Sea,MVLMW,Chthamalus stellatus,31.5,GAM,1.4466892601934493
13,Mediterranean Sea,4P4YV,Pseudonereis anomala,31.5,GAM,1.440256122604503
13,Mediterranean Sea,6T3K7,Opuntia elatior,31.5,GAM,1.4063029898208228
13,Mediterranean Sea,36WJ4,Distaplia bermudensis,31.5,GAM,1.345163431355642
13,Mediterranean Sea,N6PH,Branchiomma luctuosum,31.5,GAM,1.342304672002094
13,Mediterranean Sea,6XX9B,Schizoporella errata,31.5,GAM,1.341192862760724
13,Mediterranean Sea,RCDCN,Perforatus perforatus,31.5,GAM,1.3231864579489097
13,Mediterranean Sea,5BV6C,Watersipora cucullata,31.5,GAM,1.3152257440757769
13,Mediterranean Sea,4CMHV,Parablennius incognitus,31.5,GAM,1.3100702487362064
13,Mediterranean Sea,LCHL9,Amphibalanus eburneus,31.5,GAM,1.3038787198282722
13,Mediterranean Sea,4JK6F,Planocera ceratommata,31.5,GAM,1.2892193705413757
13,Mediterranean Sea,6Y7Y7,Scartella cristata,31.5,GAM,1.2780040113966809
13,Mediterranean Sea,7FFK2,Vanellus spinosus,31.5,GAM,1.2751075758300863
13,Mediterranean Sea,38PCQ,Ecteinascidia turbinata,31.5,GAM,1.2748051475183475
13,Mediterranean Sea,7CWT9,Truncatella subcylindrica,31.5,GAM,1.265413101784953
13,Mediterranean Sea,YSGX,Coryphoblennius galerita,31.5,GAM,1.2558839664071484
13,Mediterranean Sea,6ZBYD,Spondylus spinosus,31.5,GAM,1.2468406764753135
13,Mediterranean Sea,THS7,Chama pacifica,31.5,GAM,1.2379297359268147
13,Mediterranean Sea,72PX9,Lumbrineris perkinsi,31.5,GAM,1.2376929730989845
13,Mediterranean Sea,6KZCH,Haliotis tuberculata,31.5,GAM,1.2337726974446845
13,Mediterranean Sea,4M2PP,Portunus segnis,31.5,GAM,1.2277100262903577
13,Mediterranean Sea,3T7JW,Lepadogaster candolii,31.5,GAM,1.219581463750485
13,Mediterranean Sea,QJZ24,Microeuraphia depressa,31.5,GAM,1.2167052773823381
13,Mediterranean Sea,6YVDG,Sparisoma cretense,31.5,GAM,1.216247730885867
13,Mediterranean Sea,6MJMF,Hydroides dirampha,31.5,GAM,1.212299921319643
13,Mediterranean Sea,42Z4T,Micromesistius poutassou,31.5,GAM,1.172996367772221
13,Mediterranean Sea,5VWXQ,Atherinomorus forskalii,31.5,GAM,1.1715438848335464
13,Mediterranean Sea,R2NP,Caranx crysos,31.5,GAM,1.1517764722324002
13,Mediterranean Sea,4BZB9,Pagellus bellottii,31.5,GAM,1.1516302508363634
13,Mediterranean Sea,6XMPJ,Sargocentron rubrum,31.5,GAM,1.1507650590373424
13,Mediterranean Sea,4LQXH,Pomatoschistus marmoratus,31.5,GAM,1.1498679816809048
13,Mediterranean Sea,6G5MZ,Epinephelus coioides,31.5,GAM,1.1489194837098962
13,Mediterranean Sea,76G5K,Pempheris rhomboidea,31.5,GAM,1.1485418995929422
13,Mediterranean Sea,44RHY,Mya arenaria,31.5,GAM,1.139958538253948
13,Mediterranean Sea,SZDC,Cerithium scabridum,31.5,GAM,1.1365385152851624
13,Mediterranean Sea,552GG,Tayuva lilacina,31.5,GAM,1.1333624799799338
13,Mediterranean Sea,6XPVZ,Saurida lessepsianus,31.5,GAM,1.1266377071681786
13,Mediterranean Sea,3LY4N,Himantura uarnak,31.5,GAM,1.1209639254338553
13,Mediterranean Sea,75CY5,Ostrea stentina,31.5,GAM,1.1209457126985525
13,Mediterranean Sea,9XW6F,Penaeus kerathurus,31.5,GAM,1.1157595177490798
13,Mediterranean Sea,4FS5J,Phallusia nigra,31.5,GAM,1.1154787840178266
